Player	Team	Games	Position	TurnoverPct	ReboundPct	AssistPct	FieldGoalPct
Brice Johnson	LAC	3	PF	12.5	18.6	18.6	28.599999999999998
James Johnson	MIA	76	PF	16.5	9.9	20.9	47.9
Joe Johnson	UTA	78	SF	9.5	7.6	12.6	43.6
Stanley Johnson	DET	77	SF	15.5	7.5	10.5	35.3
Tyler Johnson	MIA	73	PG	8.8	7.4	16.6	43.3
Wesley Johnson	LAC	68	SF	8	12.5	3.9	36.5
Nikola Jokic	DEN	73	C	15.2	19.5	28.8	57.8
Dahntay Jones	CLE	1	SF	9.3	9.2	14.5	37.5
Damian Jones	GSW	10	C	22.7	14.8	0	50
Derrick Jones	PHO	32	SF	8.6	7.9	3.1	56.2
James Jones	CLE	48	SF	9	5.5	5.2	47.8
Terrence Jones	TOT	54	PF	7.8	12.7	7.3	47
Terrence Jones	NOP	51	PF	7.9	12.6	7.4	47.3
Terrence Jones	MIL	3	PF	0	29.1	0	0
Tyus Jones	MIN	60	PG	16	5	28	41.4
DeAndre Jordan	LAC	81	C	13.2	24.2	5.7	71.39999999999999
Cory Joseph	TOR	80	SG	13.1	6.6	20	45.2
Frank Kaminsky	CHO	75	C	8	9.5	13.5	39.900000000000006
Enes Kanter	OKC	72	C	12.5	17.4	7.9	54.50000000000001
Ryan Kelly	ATL	16	PF	11.5	9	10.2	28.599999999999998
Michael Kidd-Gilchrist	CHO	81	SF	7.4	13.2	7.4	47.699999999999996
Sean Kilpatrick	BRK	70	SG	13.9	8.4	14.6	41.5
Brandon Knight	PHO	54	SG	13.1	5.6	17.8	39.800000000000004
Kyle Korver	TOT	67	SG	11.5	5.9	9.4	46.400000000000006
Kyle Korver	ATL	32	SG	13.4	5.5	12.6	43.9
Kyle Korver	CLE	35	SG	9.5	6.2	6.1	48.699999999999996
Kosta Koufos	SAC	71	C	12.7	16.4	5.3	55.1
Mindaugas Kuzminskas	NYK	68	SF	11.3	6.7	10.3	42.8
Skal Labissiere	SAC	33	PF	12.9	15.3	7.5	53.7
Jeremy Lamb	CHO	62	SG	6.8	12.7	11.3	46
Nicolas Laprovittola	SAS	18	PG	27.2	3.3	23	42.6
Joffrey Lauvergne	TOT	70	PF-C	13.2	14.1	10.8	44
Joffrey Lauvergne	OKC	50	PF	12.9	13.7	10.3	45.5
Joffrey Lauvergne	CHI	20	C	14	15.2	12.2	40.2
Zach LaVine	MIN	47	SG	9.9	5.3	12.6	45.9
Ty Lawson	SAC	69	PG	17.3	6	30	45.4
Jake Layman	POR	35	SF	10.2	5.3	6.2	29.2
Courtney Lee	NYK	77	SG	8.5	5.7	10.6	45.6
David Lee	SAS	79	PF	14.9	16.9	13	59
Alex Len	PHO	77	C	15.5	17.8	4.2	49.7
Kawhi Leonard	SAS	74	SF	9.1	9.8	18.9	48.5
Meyers Leonard	POR	74	PF	8.1	10.7	8.4	38.6
Jon Leuer	DET	75	PF	8.7	11.3	8.6	48
Caris LeVert	BRK	57	SF	12.3	8	13.7	45
DeAndre Liggins	TOT	62	SG	20.8	7.7	9.2	38.7
DeAndre Liggins	CLE	61	SG	21.6	7.4	9.5	38.2
DeAndre Liggins	DAL	1	SG	0	16.3	0	50
Damian Lillard	POR	75	PG	10.2	7.6	28.7	44.4
Jeremy Lin	BRK	36	PG	15.7	8.1	35.5	43.8
Shaun Livingston	GSW	76	PG	15.1	6.2	13.5	54.7
Shawn Long	PHI	18	C	9.5	20	10.7	56.00000000000001
Kevon Looney	GSW	53	C	12.2	15.2	8.5	52.300000000000004
Brook Lopez	BRK	75	C	12.1	9.6	14.8	47.4
Robin Lopez	CHI	81	C	9.9	12.3	5.6	49.3
Kevin Love	CLE	60	PF	10.9	19.5	9.8	42.699999999999996
